uri,tag_name
1461838420414763008,Fiducia
1461838420414763008,Contenuto
1461799175968989189,Disgusto
1461799175968989189,Contenitore
1461986519858782209,Contenuto
1461986519858782209,Sarcasmo
1461986519858782209,Offensivita
1461986519858782209,Rabbia
1461986519858782209,Disgusto
1461803641535447042,Citazione
1461803641535447042,Ironia
1461803641535447042,Contenuto
1461840147272683530,Amore
1461840147272683530,Contenuto
1461840147272683530,Fiducia
1461845032764379149,Contenuto
1461845032764379149,Sorpresa
1461845032764379149,Tristezza
1461829495590199298,Contenuto
1461829495590199298,Ironia
1461829495590199298,Sorpresa
1461849860462809093,Contenuto
1461849860462809093,Fiducia
1461824553907372034,Rabbia
1461824553907372034,Disgusto
1461824553907372034,Contenuto
1461824553907372034,Sorpresa
1461836733906042888,Citazione
1461836733906042888,Contenuto
1461836733906042888,Tristezza
1461850636497137675,Ironia
1461850636497137675,Contenuto
1461850636497137675,Gioia
1461812782333059078,Citazione
1461812782333059078,Contenuto
1461812782333059078,Disgusto
1461812782333059078,Ironia
1461972072255602693,Incomprensibile
1461850065270718468,Gioia
1461850065270718468,Contenitore
1461850065270718468,Contenuto
1461850065270718468,Ironia
1461826100938645508,Tristezza
1461826100938645508,Contenuto
1461848836121497601,Contenuto
1461848836121497601,Amore
1461845851517734921,Contenuto
1461843133881274373,Fiducia
1461843133881274373,Contenitore
1461810328287825920,Ironia
1461810328287825920,Gioia
1461810328287825920,Contenitore
1461810328287825920,Fiducia
1461810328287825920,Sorpresa
1461824000473157645,Sorpresa
1461824000473157645,Contenuto
1461824000473157645,Tristezza
1461824000473157645,Rabbia
1461812331026038793,Ironia
1461812331026038793,Citazione
1461838918500945922,Fiducia
1461838918500945922,Contenitore
1461838918500945922,Amore
1461838918500945922,Ironia
1461838959923838982,Contenitore
1461838959923838982,Ironia
1461838959923838982,Gioia
1461838959923838982,Fiducia
1461838959923838982,Amore
1462073827530313728,Contenitore
1462073827530313728,Rabbia
1461950696354459648,Rabbia
1461950696354459648,Contenitore
1461950696354459648,Disgusto
1461953584065622016,Fiducia
1461953584065622016,Amore
1461953584065622016,Sorpresa
1461953584065622016,Contenuto
1461836733859913728,Contenuto
1461836733859913728,Gioia
1461836733859913728,Fiducia
1461835156877156354,Gioia
1461835156877156354,Ironia
1461835156877156354,Contenuto
1461815647290150926,Contenuto
1461815647290150926,Tristezza
1461815647290150926,Disgusto
1461815647290150926,Sorpresa
1461811323583483907,Gioia
1461811323583483907,Contenuto
1461811323583483907,Citazione
1461811323583483907,Ironia
1461832799091105797,Citazione
1461832799091105797,Ironia
1461832799091105797,Gioia
1461832799091105797,Contenuto
1461796055738208260,Amore
1461796055738208260,Fiducia
1461796055738208260,Ironia
1461796055738208260,Contenitore
1461812762825404416,Gioia
1461823889076633613,Contenuto
1461797659358998536,Contenuto
1461797659358998536,Ironia
1461804310828920838,Incomprensibile
1461813654324666377,Contenuto
1461813654324666377,Gioia
1461800489826324480,Anticipazione
1461800489826324480,Gioia
1461800489826324480,Contenuto
1461834189645484037,Contenuto
1461834189645484037,Gioia
1461834189645484037,Ironia
1461801957140672513,Contenuto
1461801957140672513,Ironia
1461819650078085125,Contenuto
1461819650078085125,Gioia
1461797600240226307,Contenuto
1461797600240226307,Ironia
1461649421016383488,Contenitore
1461649421016383488,Anticipazione
1461649421016383488,Fiducia
1461649421016383488,Contenuto
