uri,tag_name
1461799366348443656,Gioia
1461799366348443656,Anticipazione
1461799366348443656,Ironia
1461749638713810944,Contenitore
1461749638713810944,Anticipazione
1461779690176323585,Contenuto
1461779690176323585,Neutro
1463188600544186368,Contenitore
1463188600544186368,Ironia
1463188600544186368,Rabbia
1461797887776600075,Contenuto
1461789634103500800,Contenitore
1461789634103500800,Gioia
1461812136099946499,Citazione
1461812136099946499,Contenitore
1461812136099946499,Gioia
1461812136099946499,Fiducia
1461797065604935687,Ironia
1461797065604935687,Rabbia
1461837003696267266,Contenitore
1461837003696267266,Fiducia
1461837003696267266,Gioia
1461828096609464322,Incomprensibile
1462047790511624195,Rabbia
1462047790511624195,Contenitore
1462047790511624195,Sorpresa
1462047790511624195,Disgusto
1461811842691571721,Ironia
1461811842691571721,Contenitore
1461834816052150273,Contenuto
1461834816052150273,Neutro
1461726159427846146,Contenitore
1461726159427846146,Neutro
1461726159427846146,Contenuto
1461848747382657030,Sorpresa
1461848747382657030,Contenitore
1461832040349896709,Contenuto
1461832040349896709,Disgusto
1461848999615467534,Contenitore
1461848999615467534,Tristezza
1461851138425303040,Disgusto
1461851138425303040,Rabbia
1461851138425303040,Amore
1461851138425303040,Fiducia
1461851138425303040,Contenuto
1461851138425303040,Contenitore
1461359082934181903,Rabbia
1461359082934181903,Ironia
1461657443302260740,Contenitore
1461657443302260740,Neutro
1461800384637415429,Contenitore
1461800384637415429,Amore
1461825907073687556,Contenuto
1461825907073687556,Rabbia
1461824605232975873,Contenuto
1461824605232975873,Sorpresa
1461824605232975873,Tristezza
1461813915596341251,Gioia
1461813915596341251,Amore
1461813915596341251,Fiducia
1461813915596341251,Contenitore
1461793245122416659,Gioia
1461793245122416659,Contenitore
1461793245122416659,Amore
1461803386991529985,Contenuto
1461803386991529985,Gioia
1461850229200900099,Contenitore
1461635272978964480,Incomprensibile
1461810922683518982,Gioia
1461810922683518982,Contenuto
1461810922683518982,Sorpresa
1461810922683518982,Contenitore
1461811630703001614,Contenitore
1461811630703001614,Gioia
1461811630703001614,Sorpresa
1461835044201410569,Contenitore
1461835044201410569,Gioia
1461831045918167040,Contenuto
1461812152898101250,Contenitore
1461812152898101250,Gioia
1462394784568549377,Offensivita
1462394784568549377,Rabbia
1462394784568549377,Contenitore
1462394784568549377,Disgusto
1461833447446614017,Fiducia
1461833447446614017,Gioia
1461833447446614017,Contenitore
